round,event,constructor,quali_sum,race_driver_sum,race_penalty,race_total,sprint_driver_sum,sprint_penalty,sprint_total,total_pts
1,Bahrain Grand Prix,Ferrari,18,46,0,46,,,,64
1,Bahrain Grand Prix,Mercedes,8,36,0,36,,,,44
1,Bahrain Grand Prix,Haas F1 Team,4,15,0,15,,,,19
1,Bahrain Grand Prix,Alfa Romeo,5,16,0,16,,,,21
1,Bahrain Grand Prix,Alpine,3,14,0,14,,,,17
1,Bahrain Grand Prix,AlphaTauri,1,3,-5,-2,,,,-1
1,Bahrain Grand Prix,Aston Martin,0,8,0,8,,,,8
1,Bahrain Grand Prix,Williams,0,6,0,6,,,,6
1,Bahrain Grand Prix,McLaren,0,6,0,6,,,,6
1,Bahrain Grand Prix,Red Bull Racing,16,-20,-10,-30,,,,-14
2,Saudi Arabian Grand Prix,Red Bull Racing,17,41,0,41,,,,58
2,Saudi Arabian Grand Prix,Ferrari,17,36,0,36,,,,53
2,Saudi Arabian Grand Prix,Mercedes,5,19,0,19,,,,24
2,Saudi Arabian Grand Prix,Alpine,10,-1,-5,-6,,,,4
2,Saudi Arabian Grand Prix,McLaren,0,1,-5,-4,,,,-4
2,Saudi Arabian Grand Prix,AlphaTauri,2,-4,-5,-9,,,,-7
2,Saudi Arabian Grand Prix,Haas F1 Team,1,-6,-5,-11,,,,-10
2,Saudi Arabian Grand Prix,Alfa Romeo,3,-8,-5,-13,,,,-10
2,Saudi Arabian Grand Prix,Aston Martin,0,-4,-5,-9,,,,-9
2,Saudi Arabian Grand Prix,Williams,0,-20,-10,-30,,,,-30
3,Australian Grand Prix,Ferrari,12,15,-5,10,,,,22
3,Australian Grand Prix,Red Bull Racing,17,11,-5,6,,,,23
3,Australian Grand Prix,Mercedes,11,33,0,33,,,,44
3,Australian Grand Prix,McLaren,11,21,0,21,,,,32
3,Australian Grand Prix,Alpine,4,-2,-5,-7,,,,-3
3,Australian Grand Prix,Alfa Romeo,0,13,0,13,,,,13
3,Australian Grand Prix,AlphaTauri,0,-5,-5,-10,,,,-10
3,Australian Grand Prix,Williams,0,2,-5,-3,,,,-3
3,Australian Grand Prix,Aston Martin,0,-2,-5,-7,,,,-7
3,Australian Grand Prix,Haas F1 Team,0,-20,-10,-30,,,,-30
4,Emilia Romagna Grand Prix,Red Bull Racing,14,46,0,46,18.0,0.0,18.0,78
4,Emilia Romagna Grand Prix,McLaren,13,8,-5,3,7.0,0.0,7.0,23
4,Emilia Romagna Grand Prix,Mercedes,0,10,-5,5,0.0,0.0,0.0,5
4,Emilia Romagna Grand Prix,Alfa Romeo,3,3,-5,-2,-2.0,-5.0,-7.0,-6
4,Emilia Romagna Grand Prix,Ferrari,10,-1,-5,-6,18.0,0.0,18.0,22
4,Emilia Romagna Grand Prix,AlphaTauri,0,2,-5,-3,4.0,0.0,4.0,1
4,Emilia Romagna Grand Prix,Aston Martin,2,0,-5,-5,0.0,0.0,0.0,-3
4,Emilia Romagna Grand Prix,Haas F1 Team,7,-7,-5,-12,3.0,0.0,3.0,-2
4,Emilia Romagna Grand Prix,Williams,0,-20,-10,-30,2.0,0.0,2.0,-28
4,Emilia Romagna Grand Prix,Alpine,6,-20,-10,-30,3.0,0.0,3.0,-21
5,Miami Grand Prix,Red Bull Racing,15,40,0,40,,,,55
5,Miami Grand Prix,Ferrari,19,36,0,36,,,,55
5,Miami Grand Prix,Mercedes,5,27,0,27,,,,32
5,Miami Grand Prix,Alfa Romeo,6,-3,-5,-8,,,,-2
5,Miami Grand Prix,Alpine,0,18,0,18,,,,18
5,Miami Grand Prix,Williams,0,18,0,18,,,,18
5,Miami Grand Prix,Aston Martin,1,-8,-5,-13,,,,-12
5,Miami Grand Prix,AlphaTauri,6,-9,-5,-14,,,,-8
5,Miami Grand Prix,McLaren,3,-8,-5,-13,,,,-10
5,Miami Grand Prix,Haas F1 Team,0,-9,-5,-14,,,,-14
6,Spanish Grand Prix,Red Bull Racing,15,49,0,49,,,,64
6,Spanish Grand Prix,Mercedes,12,29,0,29,,,,41
6,Spanish Grand Prix,Ferrari,18,3,-5,-2,,,,16
6,Spanish Grand Prix,Alfa Romeo,4,0,-5,-5,,,,-1
6,Spanish Grand Prix,Alpine,0,2,-5,-3,,,,-3
6,Spanish Grand Prix,McLaren,2,-2,-5,-7,,,,-5
6,Spanish Grand Prix,AlphaTauri,0,-20,-10,-30,,,,-30
6,Spanish Grand Prix,Aston Martin,0,-20,-10,-30,,,,-30
6,Spanish Grand Prix,Haas F1 Team,4,-20,-10,-30,,,,-26
6,Spanish Grand Prix,Williams,0,-20,-10,-30,,,,-30
7,Monaco Grand Prix,Red Bull Racing,15,44,0,44,,,,59
7,Monaco Grand Prix,Ferrari,19,33,0,33,,,,52
7,Monaco Grand Prix,Mercedes,8,17,0,17,,,,25
7,Monaco Grand Prix,McLaren,6,11,0,11,,,,17
7,Monaco Grand Prix,Alpine,5,8,0,8,,,,13
7,Monaco Grand Prix,Alfa Romeo,0,-4,-5,-9,,,,-9
7,Monaco Grand Prix,Aston Martin,2,7,0,7,,,,9
7,Monaco Grand Prix,AlphaTauri,0,-3,-5,-8,,,,-8
7,Monaco Grand Prix,Williams,0,-20,-10,-30,,,,-30
7,Monaco Grand Prix,Haas F1 Team,0,-20,-10,-30,,,,-30
8,Azerbaijan Grand Prix,Red Bull Racing,17,47,0,47,,,,64
8,Azerbaijan Grand Prix,Mercedes,10,34,0,34,,,,44
8,Azerbaijan Grand Prix,AlphaTauri,8,2,-5,-3,,,,5
8,Azerbaijan Grand Prix,Aston Martin,2,2,-5,-3,,,,-1
8,Azerbaijan Grand Prix,Alpine,1,15,0,15,,,,16
8,Azerbaijan Grand Prix,McLaren,0,14,0,14,,,,14
8,Azerbaijan Grand Prix,Alfa Romeo,0,-20,-10,-30,,,,-30
