round,event,driver,team,quali_pts,quali_position,grid_position,finish_position,grid_penalty_positions,race_finish_pts,race_gain_pts,race_fl_pts,race_penalty,race_total,sprint_finish_pts,sprint_gain_pts,sprint_fl_pts,sprint_penalty,sprint_total,positive_pts,is_dnf,total_pts
1,Bahrain Grand Prix,STR,Aston Martin,0,19,19.0,12.0,0.0,1,7,0,0,8,,,,,,8,False,8
1,Bahrain Grand Prix,BOT,Alfa Romeo,5,6,6.0,6.0,0.0,9,0,0,0,9,,,,,,14,False,14
1,Bahrain Grand Prix,HAM,Mercedes,6,5,5.0,3.0,0.0,16,2,0,0,18,,,,,,24,False,24
1,Bahrain Grand Prix,PER,Red Bull Racing,7,4,4.0,18.0,0.0,0,0,0,-10,-10,,,,,,7,True,-3
1,Bahrain Grand Prix,ALB,Williams,0,14,14.0,13.0,0.0,1,1,0,0,2,,,,,,2,False,2
1,Bahrain Grand Prix,ALO,Alpine,3,8,8.0,9.0,0.0,3,0,0,0,3,,,,,,6,False,6
1,Bahrain Grand Prix,RUS,Mercedes,2,9,9.0,4.0,0.0,13,5,0,0,18,,,,,,20,False,20
1,Bahrain Grand Prix,TSU,AlphaTauri,0,16,16.0,8.0,0.0,5,8,0,0,13,,,,,,13,False,13
1,Bahrain Grand Prix,LAT,Williams,0,20,20.0,16.0,0.0,0,4,0,0,4,,,,,,4,False,4
1,Bahrain Grand Prix,VER,Red Bull Racing,9,2,2.0,19.0,0.0,0,0,0,-10,-10,,,,,,9,True,-1
1,Bahrain Grand Prix,LEC,Ferrari,10,1,1.0,1.0,0.0,25,0,0,0,25,,,,,,35,False,35
1,Bahrain Grand Prix,MAG,Haas F1 Team,4,7,7.0,5.0,0.0,11,2,0,0,13,,,,,,17,False,17
1,Bahrain Grand Prix,ZHO,Alfa Romeo,0,15,15.0,10.0,0.0,2,5,0,0,7,,,,,,7,False,7
1,Bahrain Grand Prix,OCO,Alpine,0,11,11.0,7.0,0.0,7,4,0,0,11,,,,,,11,False,11
1,Bahrain Grand Prix,HUL,Aston Martin,0,17,17.0,17.0,0.0,0,0,0,0,0,,,,,,0,False,0
1,Bahrain Grand Prix,RIC,McLaren,0,18,18.0,14.0,0.0,1,4,0,0,5,,,,,,5,False,5
1,Bahrain Grand Prix,SAI,Ferrari,8,3,3.0,2.0,0.0,20,1,0,0,21,,,,,,29,False,29
1,Bahrain Grand Prix,GAS,AlphaTauri,1,10,10.0,20.0,0.0,0,0,0,-10,-10,,,,,,1,True,-9
1,Bahrain Grand Prix,NOR,McLaren,0,13,13.0,15.0,0.0,1,0,0,0,1,,,,,,1,False,1
1,Bahrain Grand Prix,MSC,Haas F1 Team,0,12,12.0,11.0,0.0,1,1,0,0,2,,,,,,2,False,2
2,Saudi Arabian Grand Prix,STR,Aston Martin,0,15,13.0,13.0,2.0,0,0,0,-10,-10,,,,,,0,True,-10
2,Saudi Arabian Grand Prix,BOT,Alfa Romeo,3,8,8.0,15.0,0.0,0,0,0,-10,-10,,,,,,3,True,-7
2,Saudi Arabian Grand Prix,HAM,Mercedes,0,16,15.0,10.0,1.0,2,5,0,0,7,,,,,,7,False,7
2,Saudi Arabian Grand Prix,PER,Red Bull Racing,10,1,1.0,4.0,0.0,13,0,0,0,13,,,,,,23,False,23
2,Saudi Arabian Grand Prix,ALB,Williams,0,17,16.0,14.0,1.0,0,0,0,-10,-10,,,,,,0,True,-10
2,Saudi Arabian Grand Prix,ALO,Alpine,4,7,7.0,16.0,0.0,0,0,0,-10,-10,,,,,,4,True,-6
2,Saudi Arabian Grand Prix,RUS,Mercedes,5,6,6.0,5.0,0.0,11,1,0,0,12,,,,,,17,False,17
2,Saudi Arabian Grand Prix,TSU,AlphaTauri,0,20,19.0,19.0,1.0,0,0,0,-10,-10,,,,,,0,True,-10
2,Saudi Arabian Grand Prix,LAT,Williams,0,19,18.0,18.0,1.0,0,0,0,-10,-10,,,,,,0,True,-10
2,Saudi Arabian Grand Prix,VER,Red Bull Racing,7,4,4.0,1.0,0.0,25,3,0,0,28,,,,,,35,False,35
2,Saudi Arabian Grand Prix,LEC,Ferrari,9,2,2.0,2.0,0.0,20,0,0,0,20,,,,,,29,False,29
2,Saudi Arabian Grand Prix,MAG,Haas F1 Team,1,10,10.0,9.0,0.0,3,1,0,0,4,,,,,,5,False,5
2,Saudi Arabian Grand Prix,ZHO,Alfa Romeo,0,13,12.0,11.0,1.0,1,1,0,0,2,,,,,,2,False,2
2,Saudi Arabian Grand Prix,OCO,Alpine,6,5,5.0,6.0,0.0,9,0,0,0,9,,,,,,15,False,15
2,Saudi Arabian Grand Prix,HUL,Aston Martin,0,18,17.0,12.0,1.0,1,5,0,0,6,,,,,,6,False,6
2,Saudi Arabian Grand Prix,RIC,McLaren,0,12,14.0,17.0,-2.0,0,0,0,-10,-10,,,,,,0,True,-10
2,Saudi Arabian Grand Prix,SAI,Ferrari,8,3,3.0,3.0,0.0,16,0,0,0,16,,,,,,24,False,24
2,Saudi Arabian Grand Prix,GAS,AlphaTauri,2,9,9.0,8.0,0.0,5,1,0,0,6,,,,,,8,False,8
2,Saudi Arabian Grand Prix,NOR,McLaren,0,11,11.0,7.0,0.0,7,4,0,0,11,,,,,,11,False,11
2,Saudi Arabian Grand Prix,MSC,Haas F1 Team,0,14,,,,0,0,0,-10,-10,,,,,,0,True,-10
3,Australian Grand Prix,STR,Aston Martin,0,20,19.0,12.0,1.0,1,7,0,0,8,,,,,,8,False,8
3,Australian Grand Prix,BOT,Alfa Romeo,0,12,12.0,8.0,0.0,5,4,0,0,9,,,,,,9,False,9
3,Australian Grand Prix,HAM,Mercedes,6,5,5.0,4.0,0.0,13,1,0,0,14,,,,,,20,False,20
3,Australian Grand Prix,PER,Red Bull Racing,8,3,3.0,2.0,0.0,20,1,0,0,21,,,,,,29,False,29
3,Australian Grand Prix,ALB,Williams,0,16,20.0,10.0,-4.0,2,10,0,0,12,,,,,,12,False,12
3,Australian Grand Prix,ALO,Alpine,1,10,10.0,17.0,0.0,0,0,0,-10,-10,,,,,,1,True,-9
3,Australian Grand Prix,RUS,Mercedes,5,6,6.0,3.0,0.0,16,3,0,0,19,,,,,,24,False,24
3,Australian Grand Prix,TSU,AlphaTauri,0,13,13.0,15.0,0.0,0,0,0,-10,-10,,,,,,0,True,-10
3,Australian Grand Prix,LAT,Williams,0,19,18.0,16.0,1.0,0,0,0,-10,-10,,,,,,0,True,-10
3,Australian Grand Prix,VER,Red Bull Racing,9,2,2.0,18.0,0.0,0,0,0,-10,-10,,,,,,9,True,-1
3,Australian Grand Prix,LEC,Ferrari,10,1,1.0,1.0,0.0,25,0,0,0,25,,,,,,35,False,35
3,Australian Grand Prix,VET,Aston Martin,0,18,17.0,19.0,1.0,0,0,0,-10,-10,,,,,,0,True,-10
3,Australian Grand Prix,MAG,Haas F1 Team,0,17,16.0,14.0,1.0,0,0,0,-10,-10,,,,,,0,True,-10
3,Australian Grand Prix,ZHO,Alfa Romeo,0,14,14.0,11.0,0.0,1,3,0,0,4,,,,,,4,False,4
3,Australian Grand Prix,OCO,Alpine,3,8,8.0,7.0,0.0,7,1,0,0,8,,,,,,11,False,11
3,Australian Grand Prix,RIC,McLaren,4,7,7.0,6.0,0.0,9,1,0,0,10,,,,,,14,False,14
