driver,team,season_total,races_entered
VER,Red Bull Racing,670,24
NOR,McLaren,594,24
LEC,Ferrari,555,24
PIA,McLaren,497,24
SAI,Ferrari,433,23
RUS,Mercedes,414,24
HAM,Mercedes,378,24
PER,Red Bull Racing,248,24
ALO,Aston Martin,157,24
GAS,Alpine,94,24
HUL,Haas F1 Team,89,24
OCO,Alpine,74,23
MAG,Haas F1 Team,68,22
TSU,RB,66,24
ZHO,Kick Sauber,65,24
STR,Aston Martin,49,24
RIC,RB,45,18
BOT,Kick Sauber,21,24
BEA,Haas F1 Team,17,3
LAW,RB,16,6
COL,Williams,9,9
SAR,Williams,9,14
ALB,Williams,7,24
DOO,Alpine,3,1
