round,event,optimal_captain,positive_pts,captained_total,second_driver,second_pts
1,Australian Grand Prix,NOR,35,70,VER,29
2,Chinese Grand Prix,PIA,43,86,RUS,31
3,Japanese Grand Prix,VER,35,70,NOR,29
4,Bahrain Grand Prix,PIA,35,70,RUS,30
5,Saudi Arabian Grand Prix,PIA,35,70,VER,30
6,Miami Grand Prix,PIA,42,84,NOR,39
7,Emilia Romagna Grand Prix,VER,35,70,NOR,29
8,Monaco Grand Prix,NOR,35,70,LEC,29
9,Spanish Grand Prix,PIA,35,70,NOR,29
10,Canadian Grand Prix,RUS,35,70,VER,29
11,Austrian Grand Prix,NOR,35,70,PIA,29
12,British Grand Prix,NOR,35,70,HUL,32
13,Belgian Grand Prix,PIA,42,84,NOR,36
14,Hungarian Grand Prix,NOR,35,70,PIA,29
15,Dutch Grand Prix,PIA,35,70,VER,29
16,Italian Grand Prix,VER,35,70,NOR,29
17,Azerbaijan Grand Prix,VER,35,70,RUS,29
18,Singapore Grand Prix,RUS,35,70,VER,29
19,United States Grand Prix,VER,43,86,LEC,33
20,Mexico City Grand Prix,NOR,35,70,LEC,29
21,São Paulo Grand Prix,NOR,43,86,VER,39
22,Las Vegas Grand Prix,VER,35,70,ANT,30
23,Qatar Grand Prix,VER,42,84,PIA,38
24,Abu Dhabi Grand Prix,VER,35,70,PIA,29
