round,locked,1_transfer,2_transfers,perfect
1,275,275,275,275
2,571,624,627,627
3,823,906,909,909
4,1035,1200,1206,1206
5,1260,1487,1493,1493
6,1588,1842,1862,1862
7,1800,2133,2160,2162
8,1975,2422,2452,2454
9,2170,2701,2736,2743
10,2400,2904,2968,3031
11,2546,3175,3260,3323
12,2756,3444,3539,3607
13,3019,3780,3901,3969
14,3236,4029,4172,4256
15,3401,4214,4398,4520
16,3626,4465,4686,4811
17,3853,4681,4938,5104
18,4123,4968,5225,5395
19,4406,5315,5589,5761
20,4622,5589,5866,6040
21,4974,5918,6230,6404
22,5203,6172,6524,6711
23,5512,6516,6861,7072
24,5748,6802,7147,7358
