entity,type,avg_2024,preseason_price
VER,driver,27.92,18400000
NOR,driver,24.75,17000000
LEC,driver,23.12,16300000
PIA,driver,20.71,15200000
HAM,driver,15.75,14000000
RUS,driver,17.25,13700000
ANT,driver,rookie,13100000
TSU,driver,2.75,10700000
SAI,driver,18.83,10000000
ALO,driver,6.54,8900000
GAS,driver,3.92,7700000
DOO,driver,rookie,7300000
COL,driver,rookie,7300000
OCO,driver,3.22,7300000
BEA,driver,rookie,7200000
HUL,driver,3.71,7100000
LAW,driver,rookie,6900000
HAD,driver,rookie,6900000
STR,driver,2.04,6900000
BOR,driver,rookie,6600000
ALB,driver,0.29,6100000
McLaren,constructor,45.25,25000000
Ferrari,constructor,40.79,23100000
Red Bull Racing,constructor,37.00,21500000
Mercedes,constructor,31.96,19400000
Aston Martin,constructor,7.12,9000000
Alpine,constructor,5.88,8500000
Haas F1 Team,constructor,5.54,8300000
Racing Bulls,constructor,3.83,7600000
Kick Sauber,constructor,2.75,7200000
Williams,constructor,-1.67,6000000
