entity,type,linear_price,power_curve_price,rank_based_price,tier_based_price
VER,driver,19600000,19000000,18000000,20000000
NOR,driver,17100000,16600000,17200000,20000000
LEC,driver,16900000,16500000,16300000,20000000
PIA,driver,15000000,14700000,15500000,20000000
SAI,driver,13300000,13200000,14600000,20000000
RUS,driver,12600000,12500000,13800000,12000000
HAM,driver,12500000,12400000,12900000,12000000
PER,driver,8200000,8500000,12100000,12000000
ALO,driver,4800000,5300000,11300000,12000000
GAS,driver,4000000,4600000,10400000,12000000
ZHO,driver,3700000,4300000,9600000,6000000
HUL,driver,3400000,4000000,7100000,6000000
MAG,driver,3600000,4200000,8700000,6000000
OCO,driver,3400000,4100000,7900000,6000000
TSU,driver,2600000,3300000,5400000,2000000
STR,driver,2300000,3000000,4500000,2000000
RIC,driver,2800000,3400000,6200000,6000000
BOT,driver,2000000,2200000,2800000,2000000
ALB,driver,2000000,2000000,2000000,2000000
COL,driver,2000000,2000000,2000000,2000000
SAR,driver,2000000,2400000,3700000,2000000
LAW,driver,2000000,2000000,2000000,2000000
BEA,driver,2000000,2000000,2000000,2000000
DOO,driver,2000000,2000000,2000000,2000000
McLaren,constructor,31600000,25000000,30000000,26000000
Ferrari,constructor,31000000,24600000,27000000,26000000
Mercedes,constructor,25300000,20600000,24000000,26000000
Red Bull Racing,constructor,23800000,19600000,21000000,15000000
Aston Martin,constructor,5400000,6800000,18000000,15000000
Haas F1 Team,constructor,5100000,6600000,15000000,15000000
Alpine,constructor,4400000,6100000,12000000,15000000
RB,constructor,3000000,5100000,9000000,5000000
Kick Sauber,constructor,3000000,3400000,6000000,5000000
Williams,constructor,3000000,3000000,3000000,5000000
