approach,driver_pool,constructor_pool,driver_ceiling,constructor_ceiling,shape,config_name,budget_cap,dream_team_cost,tightness
linear,100000000,100000000,,,,,100000000,121800000,1.218
linear,100000000,100000000,,,,,105000000,121800000,1.16
linear,100000000,100000000,,,,,110000000,121800000,1.1072727272727272
linear,100000000,100000000,,,,,115000000,121800000,1.0591304347826087
linear,100000000,100000000,,,,,120000000,121800000,1.015
linear,100000000,100000000,,,,,125000000,121800000,0.9744
linear,100000000,100000000,,,,,130000000,121800000,0.936923076923077
linear,100000000,110000000,,,,,100000000,128700000,1.287
linear,100000000,110000000,,,,,105000000,128700000,1.2257142857142858
linear,100000000,110000000,,,,,110000000,128700000,1.17
linear,100000000,110000000,,,,,115000000,128700000,1.1191304347826088
linear,100000000,110000000,,,,,120000000,128700000,1.0725
linear,100000000,110000000,,,,,125000000,128700000,1.0296
linear,100000000,110000000,,,,,130000000,128700000,0.99
linear,100000000,120000000,,,,,100000000,135300000,1.353
linear,100000000,120000000,,,,,105000000,135300000,1.2885714285714285
linear,100000000,120000000,,,,,110000000,135300000,1.23
linear,100000000,120000000,,,,,115000000,135300000,1.1765217391304348
linear,100000000,120000000,,,,,120000000,135300000,1.1275
linear,100000000,120000000,,,,,125000000,135300000,1.0824
linear,100000000,120000000,,,,,130000000,135300000,1.0407692307692307
linear,100000000,130000000,,,,,100000000,142100000,1.421
linear,100000000,130000000,,,,,105000000,142100000,1.3533333333333333
linear,100000000,130000000,,,,,110000000,142100000,1.2918181818181818
linear,100000000,130000000,,,,,115000000,142100000,1.2356521739130435
linear,100000000,130000000,,,,,120000000,142100000,1.1841666666666666
linear,100000000,130000000,,,,,125000000,142100000,1.1368
linear,100000000,130000000,,,,,130000000,142100000,1.093076923076923
linear,100000000,140000000,,,,,100000000,148900000,1.489
linear,100000000,140000000,,,,,105000000,148900000,1.418095238095238
linear,100000000,140000000,,,,,110000000,148900000,1.3536363636363635
linear,100000000,140000000,,,,,115000000,148900000,1.2947826086956522
linear,100000000,140000000,,,,,120000000,148900000,1.2408333333333332
linear,100000000,140000000,,,,,125000000,148900000,1.1912
linear,100000000,140000000,,,,,130000000,148900000,1.1453846153846154
linear,100000000,150000000,,,,,100000000,155600000,1.556
linear,100000000,150000000,,,,,105000000,155600000,1.4819047619047618
linear,100000000,150000000,,,,,110000000,155600000,1.4145454545454546
linear,100000000,150000000,,,,,115000000,155600000,1.3530434782608696
linear,100000000,150000000,,,,,120000000,155600000,1.2966666666666666
linear,100000000,150000000,,,,,125000000,155600000,1.2448
linear,100000000,150000000,,,,,130000000,155600000,1.196923076923077
linear,100000000,160000000,,,,,100000000,162400000,1.624
linear,100000000,160000000,,,,,105000000,162400000,1.5466666666666666
linear,100000000,160000000,,,,,110000000,162400000,1.4763636363636363
linear,100000000,160000000,,,,,115000000,162400000,1.4121739130434783
linear,100000000,160000000,,,,,120000000,162400000,1.3533333333333333
linear,100000000,160000000,,,,,125000000,162400000,1.2992
linear,100000000,160000000,,,,,130000000,162400000,1.2492307692307691
linear,100000000,170000000,,,,,100000000,169200000,1.692
linear,100000000,170000000,,,,,105000000,169200000,1.6114285714285714
linear,100000000,170000000,,,,,110000000,169200000,1.538181818181818
linear,100000000,170000000,,,,,115000000,169200000,1.471304347826087
linear,100000000,170000000,,,,,120000000,169200000,1.41
linear,100000000,170000000,,,,,125000000,169200000,1.3536
linear,100000000,170000000,,,,,130000000,169200000,1.3015384615384615
linear,100000000,180000000,,,,,100000000,176000000,1.76
linear,100000000,180000000,,,,,105000000,176000000,1.6761904761904762
linear,100000000,180000000,,,,,110000000,176000000,1.6
linear,100000000,180000000,,,,,115000000,176000000,1.5304347826086957
linear,100000000,180000000,,,,,120000000,176000000,1.4666666666666666
linear,100000000,180000000,,,,,125000000,176000000,1.408
linear,100000000,180000000,,,,,130000000,176000000,1.353846153846154
linear,100000000,190000000,,,,,100000000,182700000,1.827
linear,100000000,190000000,,,,,105000000,182700000,1.74
linear,100000000,190000000,,,,,110000000,182700000,1.660909090909091
linear,100000000,190000000,,,,,115000000,182700000,1.588695652173913
linear,100000000,190000000,,,,,120000000,182700000,1.5225
linear,100000000,190000000,,,,,125000000,182700000,1.4616
linear,100000000,190000000,,,,,130000000,182700000,1.4053846153846155
linear,100000000,200000000,,,,,100000000,189500000,1.895
linear,100000000,200000000,,,,,105000000,189500000,1.8047619047619048
linear,100000000,200000000,,,,,110000000,189500000,1.7227272727272727
linear,100000000,200000000,,,,,115000000,189500000,1.6478260869565218
linear,100000000,200000000,,,,,120000000,189500000,1.5791666666666666
linear,100000000,200000000,,,,,125000000,189500000,1.516
linear,100000000,200000000,,,,,130000000,189500000,1.4576923076923076
linear,100000000,210000000,,,,,100000000,196200000,1.962
linear,100000000,210000000,,,,,105000000,196200000,1.8685714285714285
linear,100000000,210000000,,,,,110000000,196200000,1.7836363636363637
linear,100000000,210000000,,,,,115000000,196200000,1.7060869565217391
linear,100000000,210000000,,,,,120000000,196200000,1.635
linear,100000000,210000000,,,,,125000000,196200000,1.5696
linear,100000000,210000000,,,,,130000000,196200000,1.5092307692307692
linear,100000000,220000000,,,,,100000000,202900000,2.029
linear,100000000,220000000,,,,,105000000,202900000,1.9323809523809523
linear,100000000,220000000,,,,,110000000,202900000,1.8445454545454545
linear,100000000,220000000,,,,,115000000,202900000,1.7643478260869565
linear,100000000,220000000,,,,,120000000,202900000,1.6908333333333334
linear,100000000,220000000,,,,,125000000,202900000,1.6232
linear,100000000,220000000,,,,,130000000,202900000,1.5607692307692307
linear,100000000,230000000,,,,,100000000,209800000,2.098
linear,100000000,230000000,,,,,105000000,209800000,1.9980952380952381
linear,100000000,230000000,,,,,110000000,209800000,1.9072727272727272
linear,100000000,230000000,,,,,115000000,209800000,1.8243478260869566
linear,100000000,230000000,,,,,120000000,209800000,1.7483333333333333
linear,100000000,230000000,,,,,125000000,209800000,1.6784
linear,100000000,230000000,,,,,130000000,209800000,1.613846153846154
linear,100000000,240000000,,,,,100000000,216500000,2.165
linear,100000000,240000000,,,,,105000000,216500000,2.0619047619047617
linear,100000000,240000000,,,,,110000000,216500000,1.9681818181818183
linear,100000000,240000000,,,,,115000000,216500000,1.882608695652174
linear,100000000,240000000,,,,,120000000,216500000,1.8041666666666667
linear,100000000,240000000,,,,,125000000,216500000,1.732
linear,100000000,240000000,,,,,130000000,216500000,1.6653846153846155
linear,100000000,250000000,,,,,100000000,223300000,2.233
linear,100000000,250000000,,,,,105000000,223300000,2.1266666666666665
linear,100000000,250000000,,,,,110000000,223300000,2.03
linear,100000000,250000000,,,,,115000000,223300000,1.9417391304347826
linear,100000000,250000000,,,,,120000000,223300000,1.8608333333333333
linear,100000000,250000000,,,,,125000000,223300000,1.7864
linear,100000000,250000000,,,,,130000000,223300000,1.7176923076923076
linear,100000000,260000000,,,,,100000000,230100000,2.301
linear,100000000,260000000,,,,,105000000,230100000,2.1914285714285713
linear,100000000,260000000,,,,,110000000,230100000,2.091818181818182
linear,100000000,260000000,,,,,115000000,230100000,2.0008695652173913
linear,100000000,260000000,,,,,120000000,230100000,1.9175
linear,100000000,260000000,,,,,125000000,230100000,1.8408
linear,100000000,260000000,,,,,130000000,230100000,1.77
linear,100000000,270000000,,,,,100000000,236900000,2.369
linear,100000000,270000000,,,,,105000000,236900000,2.256190476190476
linear,100000000,270000000,,,,,110000000,236900000,2.153636363636364
linear,100000000,270000000,,,,,115000000,236900000,2.06
linear,100000000,270000000,,,,,120000000,236900000,1.9741666666666666
linear,100000000,270000000,,,,,125000000,236900000,1.8952
linear,100000000,270000000,,,,,130000000,236900000,1.8223076923076924
linear,100000000,280000000,,,,,100000000,243500000,2.435
linear,100000000,280000000,,,,,105000000,243500000,2.3190476190476192
