type,abbreviation,price_millions
driver,NOR,29.0
driver,VER,28.4
driver,LEC,25.9
driver,HAM,24.2
driver,PIA,23.0
driver,RUS,21.0
driver,ANT,18.4
driver,LAW,18.0
driver,SAI,13.1
driver,ALB,12.0
driver,GAS,11.8
driver,TSU,9.6
driver,ALO,8.8
driver,STR,8.1
driver,OCO,7.3
driver,DOO,7.2
driver,BEA,6.7
driver,HUL,6.4
driver,HAD,6.2
driver,BOR,6.0
constructor,MCL,30.0
constructor,FER,27.1
constructor,RED,25.2
constructor,MER,22.7
constructor,WIL,13.1
constructor,ALP,9.5
constructor,AST,8.5
constructor,VRB,8.0
constructor,HAA,7.0
constructor,KCK,6.2
