round,event,constructor,total_pts
1,Australian Grand Prix,McLaren,39
1,Australian Grand Prix,Red Bull Racing,17
1,Australian Grand Prix,Mercedes,47
1,Australian Grand Prix,Williams,7
1,Australian Grand Prix,Aston Martin,5
1,Australian Grand Prix,Kick Sauber,6
1,Australian Grand Prix,Ferrari,9
1,Australian Grand Prix,Alpine,-10
1,Australian Grand Prix,Racing Bulls,-11
1,Australian Grand Prix,Haas F1 Team,12
2,Chinese Grand Prix,McLaren,69
2,Chinese Grand Prix,Mercedes,44
2,Chinese Grand Prix,Red Bull Racing,37
2,Chinese Grand Prix,Haas F1 Team,28
2,Chinese Grand Prix,Williams,10
2,Chinese Grand Prix,Aston Martin,-1
2,Chinese Grand Prix,Racing Bulls,2
2,Chinese Grand Prix,Alpine,-4
2,Chinese Grand Prix,Kick Sauber,-1
2,Chinese Grand Prix,Ferrari,2
3,Japanese Grand Prix,Red Bull Racing,37
3,Japanese Grand Prix,McLaren,50
3,Japanese Grand Prix,Ferrari,29
3,Japanese Grand Prix,Mercedes,29
3,Japanese Grand Prix,Racing Bulls,3
3,Japanese Grand Prix,Williams,5
3,Japanese Grand Prix,Haas F1 Team,2
3,Japanese Grand Prix,Aston Martin,1
3,Japanese Grand Prix,Alpine,2
3,Japanese Grand Prix,Kick Sauber,-2
4,Bahrain Grand Prix,McLaren,58
4,Bahrain Grand Prix,Mercedes,29
4,Bahrain Grand Prix,Ferrari,34
4,Bahrain Grand Prix,Red Bull Racing,17
4,Bahrain Grand Prix,Alpine,6
4,Bahrain Grand Prix,Haas F1 Team,21
4,Bahrain Grand Prix,Williams,-4
4,Bahrain Grand Prix,Racing Bulls,0
4,Bahrain Grand Prix,Aston Martin,0
4,Bahrain Grand Prix,Kick Sauber,-10
5,Saudi Arabian Grand Prix,McLaren,54
5,Saudi Arabian Grand Prix,Red Bull Racing,20
5,Saudi Arabian Grand Prix,Ferrari,33
5,Saudi Arabian Grand Prix,Mercedes,29
5,Saudi Arabian Grand Prix,Williams,11
5,Saudi Arabian Grand Prix,Racing Bulls,5
5,Saudi Arabian Grand Prix,Aston Martin,2
5,Saudi Arabian Grand Prix,Haas F1 Team,7
5,Saudi Arabian Grand Prix,Kick Sauber,5
5,Saudi Arabian Grand Prix,Alpine,-8
6,Miami Grand Prix,McLaren,79
6,Miami Grand Prix,Mercedes,38
6,Miami Grand Prix,Red Bull Racing,25
6,Miami Grand Prix,Williams,12
6,Miami Grand Prix,Ferrari,23
6,Miami Grand Prix,Racing Bulls,-10
6,Miami Grand Prix,Haas F1 Team,-6
6,Miami Grand Prix,Alpine,4
6,Miami Grand Prix,Kick Sauber,-3
6,Miami Grand Prix,Aston Martin,14
7,Emilia Romagna Grand Prix,Red Bull Racing,46
7,Emilia Romagna Grand Prix,McLaren,50
7,Emilia Romagna Grand Prix,Ferrari,33
7,Emilia Romagna Grand Prix,Williams,23
7,Emilia Romagna Grand Prix,Mercedes,0
7,Emilia Romagna Grand Prix,Racing Bulls,5
7,Emilia Romagna Grand Prix,Aston Martin,-4
7,Emilia Romagna Grand Prix,Kick Sauber,1
7,Emilia Romagna Grand Prix,Alpine,-2
7,Emilia Romagna Grand Prix,Haas F1 Team,-8
8,Monaco Grand Prix,McLaren,58
8,Monaco Grand Prix,Ferrari,46
8,Monaco Grand Prix,Red Bull Racing,13
8,Monaco Grand Prix,Racing Bulls,19
8,Monaco Grand Prix,Haas F1 Team,18
8,Monaco Grand Prix,Williams,6
8,Monaco Grand Prix,Mercedes,0
8,Monaco Grand Prix,Alpine,-5
