round,event,driver,team,quali_pts,quali_position,race_grid,race_finish,race_finish_pts,race_pos_change,race_fl_pts,race_penalty,race_total,sprint_grid,sprint_finish,sprint_finish_pts,sprint_pos_change,sprint_fl_pts,sprint_penalty,sprint_total,is_dnf,total_pts
1,Australian Grand Prix,HAD,Racing Bulls,0,11.0,11.0,20.0,0,0,0,-10,-10,,,,,,,,True,-10
1,Australian Grand Prix,HAM,Ferrari,3,8.0,8.0,10.0,1,-2,0,0,-1,,,,,,,,False,2
1,Australian Grand Prix,GAS,Alpine,2,9.0,9.0,11.0,0,-2,0,0,-2,,,,,,,,False,0
1,Australian Grand Prix,ALO,Aston Martin,0,12.0,12.0,17.0,0,0,0,-10,-10,,,,,,,,True,-10
1,Australian Grand Prix,SAI,Williams,1,10.0,10.0,18.0,0,0,0,-10,-10,,,,,,,,True,-9
1,Australian Grand Prix,BOR,Kick Sauber,0,15.0,15.0,16.0,0,0,0,-10,-10,,,,,,,,True,-10
1,Australian Grand Prix,VER,Red Bull Racing,8,3.0,3.0,2.0,18,1,0,0,19,,,,,,,,False,27
1,Australian Grand Prix,OCO,Haas F1 Team,0,19.0,19.0,13.0,0,6,0,0,6,,,,,,,,False,6
1,Australian Grand Prix,DOO,Alpine,0,14.0,14.0,19.0,0,0,0,-10,-10,,,,,,,,True,-10
1,Australian Grand Prix,HUL,Kick Sauber,0,17.0,17.0,7.0,6,10,0,0,16,,,,,,,,False,16
1,Australian Grand Prix,ANT,Mercedes,0,16.0,16.0,4.0,12,12,0,0,24,,,,,,,,False,24
1,Australian Grand Prix,ALB,Williams,5,6.0,6.0,5.0,10,1,0,0,11,,,,,,,,False,16
1,Australian Grand Prix,TSU,Racing Bulls,6,5.0,5.0,12.0,0,-7,0,0,-7,,,,,,,,False,-1
1,Australian Grand Prix,PIA,McLaren,9,2.0,2.0,9.0,2,-7,0,0,-5,,,,,,,,False,4
1,Australian Grand Prix,LEC,Ferrari,4,7.0,7.0,8.0,4,-1,0,0,3,,,,,,,,False,7
1,Australian Grand Prix,BEA,Haas F1 Team,0,20.0,20.0,14.0,0,6,0,0,6,,,,,,,,False,6
1,Australian Grand Prix,STR,Aston Martin,0,13.0,13.0,6.0,8,7,0,0,15,,,,,,,,False,15
1,Australian Grand Prix,LAW,Red Bull Racing,0,18.0,18.0,15.0,0,0,0,-10,-10,,,,,,,,True,-10
1,Australian Grand Prix,RUS,Mercedes,7,4.0,4.0,3.0,15,1,0,0,16,,,,,,,,False,23
1,Australian Grand Prix,NOR,McLaren,10,1.0,1.0,1.0,25,0,0,0,25,,,,,,,,False,35
2,Chinese Grand Prix,HAD,Racing Bulls,4,7.0,7.0,11.0,0,-4,0,0,-4,15.0,13.0,0.0,2.0,0.0,0.0,2.0,False,2
2,Chinese Grand Prix,HAM,Ferrari,6,5.0,5.0,19.0,0,0,0,-10,-10,1.0,1.0,8.0,0.0,0.0,0.0,8.0,True,4
2,Chinese Grand Prix,GAS,Alpine,0,16.0,16.0,20.0,0,0,0,-10,-10,17.0,12.0,0.0,5.0,0.0,0.0,5.0,True,-5
2,Chinese Grand Prix,ALO,Aston Martin,0,13.0,13.0,17.0,0,0,0,-10,-10,11.0,10.0,0.0,1.0,0.0,0.0,1.0,True,-9
