driver,team,season_total,races,per_race_avg
VER,Red Bull Racing,627,24,26.12
NOR,McLaren,626,24,26.08
PIA,McLaren,601,24,25.04
RUS,Mercedes,520,24,21.67
LEC,Ferrari,392,24,16.33
HAM,Ferrari,337,24,14.04
ANT,Mercedes,258,24,10.75
ALB,Williams,167,24,6.96
BEA,Haas F1 Team,162,24,6.75
TSU,Red Bull Racing,136,24,5.67
OCO,Haas F1 Team,133,24,5.54
SAI,Williams,125,24,5.21
STR,Aston Martin,123,24,5.12
HUL,Kick Sauber,119,24,4.96
HAD,Racing Bulls,84,24,3.5
ALO,Aston Martin,76,24,3.17
LAW,Racing Bulls,69,24,2.88
GAS,Alpine,45,24,1.88
BOR,Kick Sauber,21,24,0.88
COL,Alpine,7,18,0.39
DOO,Alpine,-14,6,-2.33
